Origin,Dest,Price/Ticket,Miles
PHL,HOU,230.48,1336
PHL,LIT,150.12,999
PHL,BHM,141.63,772
PHL,DAL,202.42,1295
PHL,MDW,232.87,668
PHL,GRR,229.79,573
PHL,MSN,137.21,764
PHL,MOB,369.77,968
PHL,MSO,321.33,1993
PHL,MYR,87.06,473
PHL,ECP,247.27,886
PHL,ELP,250.12,1824
PHL,BTV,305.81,335
PHL,BUR,333.16,2392
PHL,MAF,181.43,1601
LAX,PHL,271.95,2402
LAX,SAN,163.67,109
LAX,SFO,157.71,337
LAX,AUS,221.72,1242
LAX,BOS,295.93,2611
LAX,MIA,320.45,2342
LAX,ORD,272.35,1744
LAX,LGA,214.45,2469
LAX,CLT,410.07,2125
LAX,TPA,291.28,2158
LAX,DFW,229.33,1235
LAX,LAS,145.95,236
LAX,MCI,196.36,1363
LAX,MCO,252.95,2218
LAX,FLL,249.45,2343
LAX,MSY,228.24,1670
LAX,PHX,157.27,370
LAX,RSW,271.11,2238
LAX,MEM,224.39,1619
LAX,MHT,280.32,2587
LAX,SJU,304.94,3386
LAX,SLC,176.25,590
LAX,MSP,252.39,1535
LAX,SAT,204.3,1211
LAX,CLE,244.3,2052
LAX,DEN,180.66,862
LAX,SEA,208.72,954
LAX,RDU,301.13,2239
LAX,SMF,142.54,373
LAX,DTW,317.79,1979
LAX,PIT,185.2,2136
LAX,PVD,266.49,2592
LAX,ATL,298.81,1947
LAX,BNA,295,1797
LAX,DCA,310.2,2311
LAX,STL,270.8,1592
LAX,ABQ,160.9,677
LAX,BOI,106.66,674
LAX,JFK,355.93,2475
LAX,KOA,383.54,2504
LAX,BWI,219.95,2329
LAX,EWR,337.4,2454
LAX,JAX,322.76,2153
LAX,CMH,290.65,1995
LAX,OMA,198.83,1330
LAX,PDX,187.1,834
LAX,COS,97.57,833
LAX,DSM,128.53,1447
LAX,GEG,208.16,945
LAX,IND,269.11,1814
LAX,MKE,240.2,1756
LAX,MTJ,100.54,666
LAX,HNL,368.62,2556
LAX,LIH,359.04,2615
LAX,IAH,258.72,1379
LAX,SJC,134.75,308
LAX,OGG,379.15,2486
LAX,RNO,149.84,391
LAX,OAK,133.07,337
LAX,ONT,126.81,47
LAX,RIC,428.11,2305
LAX,PNS,220.96,1837
LAX,SDF,393.53,1843
LAX,PWM,233.17,2642
LAX,BDL,320.43,2527
LAX,TUL,134.96,1283
LAX,ORF,251.21,2371
LAX,TUS,151.5,451
LAX,SBA,261,89
LAX,IAD,338.45,2288
LAX,CVG,254.41,1900
LAX,GSP,286.07,2057
LAX,STT,433.3,3449
LAX,SYR,311.69,2351
LAX,BUF,245.35,2218
LAX,EGE,363.4,748
LAX,ICT,117.77,1203
LAX,LBB,291.26,954
LAX,ANC,281.01,2345
LAX,BIL,89.69,970
LAX,BZN,225.29,902
LAX,AGS,296.15,2090
LAX,ALB,329.67,2468
LAX,CHS,355.66,2206
LAX,OKC,128,1187
LAX,HOU,218.24,1390
LAX,LIT,126.46,1494
LAX,BHM,245.49,1815
LAX,DAL,183.41,1246
LAX,MDW,216.15,1750
LAX,GRR,253.17,1874
LAX,MSN,358.04,1687
LAX,XNA,148.72,1371
LAX,ROC,298.71,2272
LAX,CID,124.17,1550
LAX,MSO,104.84,923
LAX,FAR,120.48,1440
LAX,FSD,112.05,1340
LAX,ECP,277.14,1920
LAX,ELP,164.29,715
LAX,MFE,147.61,1318
LAX,MFR,96.42,630
LAX,ITO,356.06,2449
LAX,MRY,297,266
LAX,BLI,128.77,1047
LAX,SGF,135.41,1423
LAX,HRL,181.57,1349
LAX,ASE,258,737
LAX,AMA,281.81,955
LAX,MAF,234.3,951
LAX,TTN,139.18,2422
LAX,EUG,108.34,748
LAX,IDA,91.16,743
LAX,OGD,66.07,611
LAX,PSC,93.5,851
LAX,PVU,84.19,569
LAX,FCA,140.28,1014
LAX,GJT,82.54,655
LAX,MMH,96.47,256
SAN,PHL,377.01,2370
SAN,LAX,164.37,109
SAN,SFO,162.8,447
SAN,AUS,206.44,1164
SAN,BOS,329.89,2588
SAN,MIA,274.14,2267
SAN,ORD,256.98,1723
SAN,LGA,250.87,2441
SAN,CLT,382,2077
SAN,TPA,231.39,2087
SAN,DFW,255.92,1171
SAN,LAS,137.42,258
SAN,MCI,203.62,1334
SAN,MCO,215.12,2149
SAN,FLL,217.96,2269
SAN,MSY,237.81,1599
SAN,PBI,363,2257
SAN,PHX,172.25,304
SAN,RSW,283.72,2164
SAN,MEM,159.92,1567
SAN,MHT,279.51,2566
SAN,SJU,338.6,3310
SAN,SLC,184.34,626
SAN,MSP,269.37,1532
SAN,SAT,196.26,1129
SAN,CLE,185.22,2026
SAN,DEN,192.04,853
SAN,SEA,195,1050
SAN,RDU,203.5,2193
SAN,SMF,142.8,480
SAN,DTW,303.18,1956
SAN,PIT,169.28,2106
SAN,PVD,255.6,2567
SAN,ATL,353.9,1892
SAN,BNA,291.85,1751
SAN,DCA,286.93,2276
SAN,STL,219.9,1557
SAN,ABQ,159.73,628
SAN,BOI,149.92,749
SAN,JFK,334.87,2446
SAN,KOA,329.44,2556
SAN,BWI,232.2,2295
SAN,EWR,332.51,2425
SAN,JAX,298.16,2089
SAN,CMH,246.62,1964
SAN,OMA,166.89,1313
SAN,PDX,190.98,933
SAN,COS,86.55,816
SAN,DSM,155.41,1428
SAN,GEG,162.92,1027
SAN,IND,210.09,1782
SAN,MKE,198.34,1739
SAN,HNL,343.25,2614
SAN,LIH,346.72,2676
SAN,IAH,241.38,1303
SAN,SJC,142.3,417
SAN,OGG,364.43,2541
SAN,RNO,181.56,488
SAN,OAK,151.24,446
SAN,RIC,377,2265
SAN,PNS,239.16,1770
SAN,SDF,253.41,1804
SAN,PWM,304.4,2623
SAN,BDL,247.14,2502
SAN,TUL,147.2,1237
SAN,ORF,286.07,2330
SAN,TUS,162.86,367
SAN,IAD,414.29,2253
SAN,CVG,114.08,1865
SAN,GSP,305.24,2007
SAN,STT,726.5,3373
SAN,SYR,250.21,2330
SAN,BUF,249.33,2196
SAN,ICT,222.8,1166
SAN,LBB,240.14,892
SAN,BIL,238,1013
SAN,AGS,356.86,2035
SAN,ALB,283.55,2445
SAN,CHS,290.77,2150
SAN,OKC,179.72,1137
SAN,HOU,231.27,1313
SAN,LIT,319.15,1441
SAN,BHM,265.57,1759
SAN,DAL,200.51,1182
SAN,MDW,232.71,1728
SAN,GRR,294.94,1855
SAN,ROC,290.87,2251
SAN,FSD,250.42,1336
SAN,ECP,312.7,1853
SAN,ELP,147.15,636
SAN,MRY,85,375
SAN,BLI,108.46,1142
SAN,HRL,228.78,1257
SAN,ISP,239.65,2481
SAN,AMA,228.81,904
SAN,MAF,163.54,878
SAN,EUG,78.11,850
SAN,PVU,82.33,599
SAN,SCK,81.67,423
SFO,PHL,360.34,2521
SFO,LAX,154.5,337
SFO,SAN,158.9,447
SFO,AUS,254.17,1504
SFO,BOS,333.52,2704
SFO,MIA,300.34,2585
SFO,ORD,322.41,1846
SFO,LGA,273.37,2579
SFO,CLT,413.72,2296
SFO,TPA,337.18,2393
SFO,DFW,272.85,1464
SFO,LAS,181.18,414
SFO,MCI,252.56,1499
SFO,MCO,305.12,2446
SFO,FLL,299.76,2584
SFO,MSY,299.91,1911
SFO,PHX,198.51,651
SFO,RSW,331.8,2481
SFO,MEM,224.42,1807
SFO,MHT,430.03,2676
SFO,SJU,339.15,3630
SFO,SLC,200.68,599
SFO,MSP,264.3,1589
SFO,SAT,213.1,1482
SFO,CLE,382.12,2161
SFO,DEN,214.92,967
SFO,SEA,202.33,679
SFO,RDU,317.9,2400
SFO,SMF,171.58,86
SFO,DTW,398.91,2079
SFO,PIT,356.07,2254
SFO,PVD,232.36,2691
SFO,ATL,389.68,2139
SFO,BNA,273.08,1969
SFO,DCA,385.49,2442
SFO,STL,256.98,1735
SFO,ABQ,195.52,896
SFO,BOI,222.64,522
SFO,JFK,336.54,2586
SFO,KOA,394.26,2367
SFO,BWI,316.61,2457
SFO,EWR,342.29,2565
SFO,JAX,266.49,2366
SFO,CMH,275.49,2120
SFO,OMA,156.51,1433
SFO,PDX,172.05,550
SFO,DSM,100.52,1549
SFO,GEG,209.13,733
SFO,IND,283.61,1943
SFO,MKE,244.3,1845
SFO,FAT,256.08,158
SFO,HNL,354.67,2398
SFO,LIH,438.48,2447
SFO,IAH,424.76,1635
SFO,SJC,148.5,30
SFO,SNA,163.08,372
SFO,OGG,352.88,2338
SFO,RNO,229.96,192
SFO,OAK,195.83,11
SFO,ONT,193.5,363
SFO,PSP,196.28,421
SFO,RIC,296.19,2449
SFO,SDF,362.81,1990
SFO,BDL,292.03,2625
SFO,TUL,231.71,1465
SFO,ORF,332.31,2520
SFO,TUS,224.45,751
SFO,SBA,211.99,262
SFO,ILM,302.2,2481
SFO,IAD,429.48,2419
SFO,CVG,290.91,2036
SFO,ICT,270.98,1364
SFO,LBB,401,1186
SFO,ANC,392.73,2018
SFO,BZN,307.04,807
SFO,OKC,222.58,1384
SFO,HOU,242.41,1649
SFO,LIT,170.32,1690
SFO,BHM,277.9,2013
SFO,DAL,187.07,1476
SFO,MDW,231.63,1855
SFO,GRR,237.25,1966
SFO,MSN,472.48,1772
SFO,MSO,159.8,769
SFO,ELP,211.25,993
SFO,MFR,235.69,329
SFO,BUR,142.08,326
SFO,RDM,228.75,462
SFO,LGB,117.78,354
SFO,BQN,375.8,3566
SFO,HRL,254,1644
SFO,ASE,360.5,848
SFO,AMA,257.15,1161
SFO,MAF,245.56,1209
SFO,EUG,249.81,451
SFO,MMH,78,193
SFO,SCE,936,2374
AUS,PHL,268.53,1430
AUS,LAX,223.12,1242
AUS,SAN,204.93,1164
AUS,SFO,255.22,1504
AUS,BOS,242.14,1698
AUS,MIA,211.51,1103
AUS,ORD,256.16,977
AUS,LGA,200.62,1520
AUS,CLT,272.03,1032
AUS,TPA,211.91,928
AUS,DFW,208.8,190
AUS,LAS,180.31,1090
AUS,MCI,201.64,650
AUS,MCO,181.87,994
AUS,FLL,188.93,1105
AUS,MSY,163.39,444
AUS,PBI,217.05,1096
AUS,PHX,211.71,872
AUS,RSW,222.12,1001
AUS,MEM,111.72,559
AUS,MHT,289.5,1692
AUS,SJU,330.38,2146
AUS,SLC,246.78,1086
AUS,MSP,248.87,1042
AUS,CLE,116.45,1174
AUS,DEN,170.87,775
AUS,SEA,228.73,1770
AUS,RDU,179.86,1162
AUS,SMF,215.37,1481
AUS,DTW,260.77,1149
AUS,PIT,129.96,1210
AUS,PVD,148.13,1662
AUS,ATL,213.97,813
AUS,BNA,248.97,756
AUS,DCA,299.55,1315
AUS,STL,221.94,721
AUS,ABQ,146.67,619
AUS,BOI,239.43,1375
AUS,JFK,271.86,1521
AUS,BWI,291.58,1342
AUS,EWR,273.33,1504
AUS,JAX,121.07,954
AUS,CMH,136.46,1073
AUS,OMA,125.47,772
AUS,PDX,220.26,1715
AUS,GEG,200.53,1600
AUS,IND,124.97,919
AUS,MKE,117.19,1032
AUS,IAH,225.44,140
AUS,SJC,226.59,1476
AUS,SNA,175.8,1209
AUS,RNO,154.11,1405
AUS,OAK,225.73,1497
AUS,ONT,111.65,1196
AUS,RIC,195.83,1271
AUS,PNS,173.21,626
AUS,SDF,167.64,876
AUS,BDL,244.72,1607
AUS,TUL,211.35,426
AUS,ORF,304.64,1319
AUS,VPS,82.66,666
AUS,TUS,141.32,797
AUS,IAD,249.68,1297
AUS,CVG,98.13,958
AUS,GSP,209.16,957
AUS,BUF,97.45,1366
AUS,LBB,176.93,341
AUS,BZN,286.52,1299
AUS,ALB,263.25,1577
AUS,CHS,132.14,1055
AUS,OKC,205.94,358
AUS,HOU,182.36,148
AUS,FNT,226.34,1169
AUS,LIT,211.27,446
AUS,BHM,193.46,682
AUS,DAL,165.32,189
AUS,MDW,226.33,972
AUS,GRR,218.49,1103
AUS,ROC,213.23,1418
AUS,ECP,227.66,710
AUS,ELP,202.48,528
AUS,BUR,201.52,1241
AUS,LGB,179.63,1226
AUS,HRL,173.69,273
AUS,ISP,163.93,1559
AUS,AMA,201.04,418
AUS,MAF,215.77,294
AUS,TTN,120.15,1462
AUS,PIE,86.93,920
AUS,SFB,91.66,994
AUS,LCK,81.89,1065
AUS,FCA,283.66,1527
AUS,HYA,342.92,1717
BOS,PHL,198.12,280
BOS,LAX,294.7,2611
BOS,SAN,331.24,2588
BOS,SFO,334.22,2704
BOS,AUS,243.17,1698
BOS,MIA,269.48,1258
BOS,ORD,217.39,867
BOS,LGA,194.21,184
BOS,CLT,224.4,728
BOS,TPA,218.28,1185
BOS,DFW,258.09,1562
BOS,LAS,271.57,2381
BOS,MCI,195.86,1256
BOS,MCO,226.61,1121
BOS,FLL,211.66,1237
BOS,MSY,197.69,1368
BOS,PBI,249.54,1197
BOS,PHX,304.84,2300
BOS,RSW,253.37,1249
BOS,MEM,215.11,1139
BOS,SJU,287,1674
BOS,SLC,291.17,2105
BOS,MSP,222.19,1124
BOS,SAT,229.17,1764
BOS,CLE,168.06,563
BOS,DEN,284.9,1754
BOS,JAC,555.95,1996
BOS,SEA,280.27,2496
BOS,RDU,209.4,612
BOS,SMF,281.02,2636
BOS,DTW,210.08,632
BOS,PIT,176.03,496
BOS,ATL,183.88,946
BOS,BNA,182.13,942
BOS,DCA,213,399
BOS,STL,285.48,1047
BOS,ABQ,252.75,1974
BOS,BOI,286.13,2265
BOS,JFK,171.28,187
BOS,KOA,432.16,5071
BOS,BWI,151.14,369
BOS,EWR,231.12,200
BOS,JAX,211.85,1010
BOS,CMH,182.27,640
BOS,OMA,214.08,1282
BOS,PDX,296.78,2537
BOS,COS,190.47,1778
BOS,DSM,209.17,1165
BOS,GEG,365,2274
BOS,HDN,277.3,1871
BOS,IND,169.5,818
BOS,MKE,189.35,860
BOS,HNL,535.33,5095
BOS,IAH,290.06,1597
BOS,SJC,299.35,2689
BOS,SNA,330.13,2592
BOS,RNO,325.27,2524
BOS,OAK,267.39,2694
BOS,ONT,403.12,2566
BOS,RIC,174.97,474
BOS,SAV,215.39,901
BOS,PNS,203.59,1215
BOS,SDF,204.81,829
BOS,TUL,253.95,1394
BOS,ORF,255.7,468
BOS,TUS,239.23,2289
BOS,IAD,190.09,413
BOS,CVG,292.52,752
BOS,GSP,176.72,795
BOS,STT,317.69,1693
BOS,SYR,131.06,265
BOS,BUF,150.64,395
BOS,ICT,191,1433
BOS,LBB,435.33,1774
BOS,SRQ,274.03,1220
BOS,CHS,218.8,818
BOS,OKC,272.21,1505
BOS,HOU,184.29,1609
BOS,LIT,242.06,1260
BOS,BHM,231.36,1050
BOS,DAL,191.56,1554
BOS,MDW,161.82,861
BOS,GRR,179.59,740
BOS,ROC,159.19,343
BOS,MOB,322.89,1248
BOS,MYR,101.72,738
BOS,ECP,236.76,1165
BOS,ELP,216.01,2067
BOS,BUR,228.01,2601
BOS,LGB,252.36,2602
BOS,HRL,260.8,1874
BOS,AVL,196.59,783
BOS,MAF,404.61,1853
BOS,RAP,321.25,1613
BOS,ACK,174.37,91
BOS,MVY,143.4,70
MIA,PHL,236.46,1013
MIA,LAX,323.07,2342
MIA,SAN,277.02,2267
MIA,SFO,307.44,2585
MIA,AUS,217.13,1103
MIA,BOS,281.87,1258
MIA,ORD,235.95,1197
MIA,LGA,253.01,1096
MIA,CLT,293.94,650
MIA,TPA,176.25,204
MIA,DFW,309.16,1121
MIA,LAS,282.58,2174
MIA,MCI,262.7,1251
MIA,MCO,166.72,192
MIA,MSY,176.21,675
MIA,PHX,323.58,1972
MIA,SJU,245.88,1045
MIA,SLC,251.94,2088
MIA,MSP,250.83,1501
MIA,SAT,231.16,1143
MIA,CLE,167.08,1080
MIA,DEN,221.21,1709
MIA,SEA,343.33,2724
MIA,RDU,204.09,700
MIA,SMF,325.46,2552
MIA,DTW,213.6,1145
MIA,PIT,427.75,1013
MIA,PVD,138.34,1209
MIA,ATL,190.15,594
MIA,BNA,176.38,806
MIA,DCA,254.9,919
MIA,STL,233.46,1068
MIA,BOI,318.34,2358
MIA,JFK,239.93,1089
MIA,BWI,195.82,946
MIA,EWR,251.36,1085
MIA,CMH,147.73,990
MIA,PDX,251.47,2700
MIA,IND,168.5,1020
MIA,MKE,116.2,1258
MIA,IAH,244.56,964
MIA,SJC,315.52,2559
MIA,SNA,301.25,2310
MIA,BDL,205.52,1194
MIA,TUL,271.85,1168
MIA,TUS,284.29,1900
MIA,IAD,203.12,921
MIA,CVG,97.54,948
MIA,STT,254.09,1107
MIA,STX,267.41,1139
MIA,SYR,129,1217
MIA,BUF,152.05,1185
MIA,EGE,442.98,1810
MIA,ALB,164,1225
MIA,EVV,267.4,944
MIA,ELP,243.66,1631
MIA,BTV,205.71,1348
MIA,ISP,111.72,1113
MIA,TTN,106.94,1047
ORD,PHL,296.37,678
ORD,LAX,274.08,1744
ORD,SAN,257.17,1723
ORD,SFO,319.43,1846
ORD,AUS,257.65,977
ORD,BOS,221.1,867
ORD,MIA,228.4,1197
ORD,LGA,216.76,733
ORD,CLT,276.73,599
ORD,TPA,222.49,1012
ORD,DFW,251.36,802
ORD,LAS,242.84,1514
ORD,MCI,212.61,403
ORD,MCO,214.59,1005
ORD,FLL,193.2,1182
ORD,MSY,210.83,837
ORD,PBI,262.75,1144
ORD,PHX,257.86,1440
ORD,RSW,233.21,1120
ORD,MEM,204.14,491
ORD,MHT,189.62,843
ORD,SJU,287.29,2072
ORD,SLC,270.26,1250
ORD,MSP,207.04,334
ORD,SAT,246.08,1041
ORD,CLE,215.49,316
ORD,DEN,223.09,888
ORD,JAC,405.74,1162
ORD,SEA,247.19,1721
ORD,RDU,236.77,646
ORD,SMF,275.67,1781
ORD,DTW,189.1,235
ORD,PIT,207.75,413
ORD,PVD,210.64,849
ORD,ATL,190.27,606
ORD,BNA,222.21,409
ORD,DCA,276.86,612
ORD,STL,240.89,258
ORD,ABQ,282.85,1118
ORD,JFK,182.78,740
ORD,KOA,473.06,4213
ORD,BWI,191.91,622
ORD,EWR,293.93,719
ORD,JAX,200.82,864
ORD,CMH,174.32,296
ORD,OMA,197.44,416
ORD,PDX,248.01,1739
ORD,COS,103.64,911
ORD,DSM,258.49,299
ORD,GEG,288.08,1498
ORD,IND,181.11,177
ORD,MKE,470.79,67
ORD,HNL,524.33,4243
ORD,IAH,262.56,925
ORD,SJC,306.52,1829
ORD,SNA,317.51,1726
ORD,OGG,539.93,4184
ORD,RNO,311.41,1671
ORD,OAK,106.23,1836
ORD,PSP,321.71,1651
ORD,RIC,261.15,642
ORD,SAV,243.54,773
ORD,PNS,118.6,794
ORD,SDF,329.56,286
ORD,PWM,266.25,900
ORD,BDL,290.38,783
ORD,TUL,330.79,585
ORD,ORF,185.24,717
ORD,TUS,325.97,1437
ORD,ILM,149,760
ORD,IAD,277.89,588
ORD,CVG,147.86,264
ORD,GSP,184.5,577
ORD,STT,416.73,2116
ORD,SYR,80.94,607
ORD,BUF,181.27,474
ORD,EGE,369.84,1007
ORD,ICT,232.67,588
ORD,ANC,393.85,2846
ORD,FAI,486.26,2785
ORD,SRQ,325.19,1050
ORD,BZN,358.16,1185
ORD,ALB,269.34,723
ORD,CHS,202.26,760
ORD,GSO,178.86,589
ORD,OKC,181.75,693
ORD,LIT,381,552
ORD,BHM,119.67,584
ORD,MDT,287.69,594
ORD,GRR,151.35,137
ORD,MSN,212.41,108
ORD,DAY,119,240
ORD,ROC,229.32,528
ORD,EYW,260.5,1251
ORD,CID,238.76,196
ORD,MOB,203.5,778
ORD,CAK,250.68,343
ORD,FAR,371.2,557
ORD,FSD,242.83,462
ORD,MYR,111.39,753
ORD,ELP,201.53,1236
ORD,LNK,191.74,466
ORD,BTV,261.5,763
ORD,HPN,367.66,738
ORD,ABE,296.8,655
ORD,CAE,196.12,666
ORD,SGF,341.75,438
ORD,ATW,50.99,160
ORD,TYS,268,475
ORD,HRL,99.92,1219
ORD,ISP,74.86,773
ORD,AVP,332.8,632
ORD,TTN,93.63,693
ORD,BGR,292.88,978
ORD,FCA,401.26,1352
ORD,DLH,199.35,397
ORD,ERI,353,398
ORD,LAN,198,179
ORD,MKG,74,118
ORD,TVC,225.56,224
ORD,RST,297.5,268
ORD,SCE,221.5,528
LGA,PHL,296.44,96
LGA,LAX,201.94,2469
LGA,SAN,261.98,2441
LGA,SFO,277.9,2579
LGA,AUS,184.36,1520
LGA,BOS,195.32,184
LGA,MIA,251.55,1096
LGA,ORD,218.16,733
LGA,CLT,207.75,544
LGA,TPA,219.94,1010
LGA,DFW,255.65,1389
LGA,LAS,207.85,2242
LGA,MCI,203.79,1107
LGA,MCO,206.04,950
LGA,FLL,207.52,1076
LGA,MSY,267.21,1183
LGA,PBI,248.65,1035
LGA,PHX,256.83,2149
LGA,RSW,249.74,1080
LGA,SJU,160.63,1608
LGA,SLC,244.14,1983
LGA,MSP,329.37,1020
LGA,SAT,182.45,1586
LGA,CLE,194.62,419
LGA,DEN,255.99,1620
LGA,JAC,295.64,1887
LGA,RDU,159.65,431
LGA,SMF,251.25,2514
LGA,DTW,261.89,502
LGA,ATL,254.78,762
LGA,BNA,208.38,764
LGA,DCA,152.67,214
LGA,STL,217.96,888
LGA,ABQ,380.83,1821
LGA,JAX,149.66,833
LGA,CMH,280.74,479
LGA,OMA,213.39,1148
LGA,PDX,245.5,2445
LGA,GEG,246,2189
LGA,IND,221.4,660
LGA,MKE,176.52,738
LGA,MTJ,362.28,1810
LGA,HNL,484.79,4976
LGA,IAH,334.13,1416
LGA,SJC,222.23,2563
LGA,SNA,238.57,2449
LGA,RNO,262.51,2404
LGA,OAK,257.74,2569
LGA,PNS,286.25,1030
LGA,SDF,639.34,659
LGA,TUL,233.44,1231
LGA,ORF,155,296
LGA,TUS,231.29,2132
LGA,IAD,182.12,229
LGA,CVG,170.12,585
LGA,GSP,162.06,610
LGA,BUF,148.78,292
LGA,EGE,416.67,1739
LGA,LBB,249.58,1610
LGA,SRQ,243.04,1047
LGA,BIL,320.34,1768
LGA,BZN,366.04,1894
LGA,GSO,174.5,461
LGA,OKC,234.49,1341
LGA,HOU,224.45,1428
LGA,LIT,226.18,1085
LGA,DAL,192.31,1381
LGA,MDW,168.92,725
LGA,GRR,53.16,618
LGA,CID,305.18,929
LGA,MYR,102.89,563
LGA,ECP,184.92,981
LGA,ELP,379.5,1904
LGA,AMA,212.83,1560
LGA,CRP,235.56,1614
LGA,MAF,247.33,1684
LGA,SBN,376.03,651
CLT,PHL,324.11,449
CLT,LAX,418.25,2125
CLT,SAN,379.92,2077
CLT,SFO,415.31,2296
CLT,AUS,282.65,1032
CLT,BOS,237.21,728
CLT,MIA,294.56,650
CLT,ORD,273.04,599
CLT,LGA,212.49,544
CLT,TPA,304.05,507
CLT,DFW,308.93,936
CLT,LAS,379.47,1916
CLT,MCI,311.88,808
CLT,MCO,273.2,468
CLT,FLL,291.33,632
CLT,MSY,278.99,651
CLT,PBI,336.09,590
CLT,PHX,385.05,1773
CLT,RSW,280.37,600
CLT,MEM,289.17,511
CLT,MHT,154.28,737
CLT,SJU,311.25,1475
CLT,SLC,281.6,1727
CLT,MSP,272.03,930
CLT,SAT,306.47,1095
CLT,CLE,257.97,430
CLT,DEN,261.65,1337
CLT,SEA,391.7,2279
CLT,RDU,338.64,130
CLT,SMF,327.02,2244
CLT,DTW,253.08,500
CLT,PIT,279.53,366
CLT,PVD,226.52,683
CLT,ATL,248.26,226
CLT,BNA,203.42,328
CLT,DCA,255.93,331
CLT,STL,311.36,575
CLT,JFK,180.79,541
CLT,KOA,603.16,4629
CLT,BWI,198.11,361
CLT,EWR,197.45,529
CLT,JAX,320.47,328
CLT,CMH,275.09,347
CLT,OMA,230.5,913
CLT,PDX,328.45,2282
CLT,GEG,323.91,2060
CLT,IND,268.13,427
CLT,MKE,227.24,651
CLT,MTJ,330.53,1505
CLT,HNL,479.36,4678
CLT,IAH,251.2,912
CLT,SJC,315.53,2274
CLT,SNA,178.4,2099
CLT,RNO,172.62,2141
CLT,OAK,250.36,2287
CLT,RIC,348.62,257
CLT,SAV,357.19,213
CLT,PNS,249.59,488
CLT,SDF,358.65,335
CLT,PWM,289.47,813
CLT,BDL,310.68,644
CLT,TUL,320.5,842
CLT,ORF,315.73,290
CLT,TUS,252.68,1735
CLT,ILM,370.64,185
CLT,IAD,201.62,322
CLT,CVG,135,335
CLT,STT,438.5,1520
CLT,STX,361.43,1562
CLT,SYR,303.83,603
CLT,BUF,296.77,546
CLT,ANC,463.45,3445
CLT,SRQ,284.4,547
CLT,ALB,292.85,646
CLT,CHS,351.9,168
CLT,GSO,462.75,83
CLT,OKC,294.53,940
CLT,HOU,187.95,920
CLT,LFT,325.88,729
CLT,DAL,196.48,926
CLT,MDW,188.38,584
CLT,MDT,298.35,413
CLT,GRR,159.63,583
CLT,ROC,210.87,573
CLT,MLB,285.17,490
CLT,FAR,352.17,1153
CLT,MYR,372.96,157
CLT,ELP,207.25,1482
CLT,HRL,198.96,1169
CLT,ISP,238.32,575
CLT,AMA,193.42,1172
CLT,CRP,331,1101
CLT,MAF,362.62,1244
CLT,TTN,84.22,484
TPA,PHL,202.51,920
TPA,LAX,287.55,2158
TPA,SAN,232.72,2087
TPA,SFO,324.91,2393
TPA,AUS,210.44,928
TPA,BOS,217.17,1185
TPA,MIA,168.82,204
TPA,ORD,222.05,1012
TPA,LGA,218.63,1010
TPA,CLT,291.36,507
TPA,DFW,226.42,929
TPA,LAS,186.36,1984
TPA,MCI,202.42,1048
TPA,FLL,147.08,197
TPA,MSY,151.38,488
TPA,PHX,275.55,1788
TPA,MEM,162.17,655
TPA,MHT,208.01,1204
TPA,SJU,197.67,1237
